source,title,company,logo,experience,job_type,work_mode,salary,skills,published,modified,url
TuniJobs,Assistante pour notaire,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération600 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6910f15f24c9d76ff4ae6221%2F0527cf25-515b-45b4-b5a4-3801b2c4c812.jpg&w=128&q=75,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération600 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération600 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération600 DT,Expérience6-12 moisType d'emploiCDIMode de travailPrésentielRémunération600 DT,Rigueur Organisation ​Sens de l'écoute et de la Com...,Publié:il y a 12 jours,Publié:il y a 12 jours,/company/maitre-afifi-notaire/jobs/maitre-afifi-notaire-assistante-pour-notaire
TuniJobs,Agent Immobilier,"Expérience1-6 moisType d'emploiCDI, Freelance, CIVPMode de travailPrésentielRémunération900 DT",/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d9109741baf25811ed9e8d%2Fddb24b72-bb10-4b56-b1aa-22a9bf73fc15.jpg&w=128&q=75,"Expérience1-6 moisType d'emploiCDI, Freelance, CIVPMode de travailPrésentielRémunération900 DT","Expérience1-6 moisType d'emploiCDI, Freelance, CIVPMode de travailPrésentielRémunération900 DT","Expérience1-6 moisType d'emploiCDI, Freelance, CIVPMode de travailPrésentielRémunération900 DT","Expérience1-6 moisType d'emploiCDI, Freelance, CIVPMode de travailPrésentielRémunération900 DT",commercial informatique,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/chezmoii/jobs/chezmoii-agent-immobilier
TuniJobs,Accountant & Credit Collection,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1300 - 1800 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F684ae9281e8f644839b2b517%2Fc1026eb4-201d-476b-a9f4-9db4ff8f4209.png&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1300 - 1800 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1300 - 1800 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1300 - 1800 DT,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunération1300 - 1800 DT,Comptabilité,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/pentabell/jobs/pentabell-accountant-and-credit-collection
TuniJobs,Chargé(e) Qualité Télévente en Mutuelle Santé & Prévoyance 🚀,"ExpérienceType d'emploiCDI, CIVPMode de travailPrésentielRémunérationConfidentiel",/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68d12ab060b99373a90ec170%2Fc2f27f59-2123-49c2-9984-d011ff838d5c.png&w=128&q=75,"ExpérienceType d'emploiCDI, CIVPMode de travailPrésentielRémunérationConfidentiel","ExpérienceType d'emploiCDI, CIVPMode de travailPrésentielRémunérationConfidentiel","ExpérienceType d'emploiCDI, CIVPMode de travailPrésentielRémunérationConfidentiel","ExpérienceType d'emploiCDI, CIVPMode de travailPrésentielRémunérationConfidentiel",Français lu parlé Télévente Assurance,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/adam-eden-eva/jobs/adam-eden-eva-charge-e-qualite-televente-en-mutuelle-sante-and-prevoyance
TuniJobs,Stagiaire en Communication & Création de contenu digital (H/F),ExpérienceSans expérienceType d'emploiStageMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68c91b95728f154b8fc75c3d%2Fcb86a611-402a-4450-922e-0509c87687f9.png&w=128&q=75,ExpérienceSans expérienceType d'emploiStageMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiStageMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiStageMode de travailPrésentielRémunérationConfidentiel,ExpérienceSans expérienceType d'emploiStageMode de travailPrésentielRémunérationConfidentiel,Création de contenu stratégie de communication dig... Gestion des réseaux sociaux + 2 de plus,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/clevertech/jobs/clevertech-stagiaire-en-communication-and-creation-de-contenu-digital-h-f
TuniJobs,Responsable Système d'Information,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F68a74508457ca3fd3432ca92%2F6c5cac73-c04d-40c3-979b-523d887e0d42.jpg&w=128&q=75,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Expérience2-5 ansType d'emploiCDIMode de travailPrésentielRémunérationConfidentiel,Connaissance CISCO   Connaissa...,Publié:il y a 2 mois,Publié:il y a 2 mois,/company/thera/jobs/thera-responsable-systeme-dinformation
TuniJobs,Technicien Supérieur en Architecture/Décoration d'Intérieur - La Soukra,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération1000 - 1800 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F690a0399765cb3f4e148ad06%2F4cd6dc5b-c4d4-4172-980e-970f9a3d727b.jpg&w=128&q=75,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération1000 - 1800 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération1000 - 1800 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération1000 - 1800 DT,Expérience1-2 ansType d'emploiCDIMode de travailPrésentielRémunération1000 - 1800 DT,autocad,Publié:il y a 17 jours,Publié:il y a 17 jours,/company/le-sculpteur/jobs/le-sculpteur-technicien-superieur-en-architecture-decoration-dinterieur-la-soukra
TuniJobs,Chef(fe) de projet IT H/F,Expérience5-7 ansType d'emploiCDDMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F6904ede491dd87b31ee5f1b7%2Fd74cd597-f958-43c6-b3d0-7c9e02b4c5f6.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDDMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDDMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDDMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDDMode de travailTélétravail completRémunérationConfidentiel,En tant que chef(fe) de projet...,Publié:il y a 18 jours,Publié:il y a 18 jours,/company/palma-talents/jobs/palma-talents-chef-fe-de-projet-it-h-f
TuniJobs,Ingénieur du son Live/Studio,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunération600 - 800 DT,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F69089f7c83dab8a0fd23c7ae%2Fc6363a54-dc18-40cb-9f2f-e8ad1a7795a0.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunération600 - 800 DT,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunération600 - 800 DT,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunération600 - 800 DT,Expérience5-7 ansType d'emploiCDIMode de travailPrésentielRémunération600 - 800 DT,Logiciels: Reaper + Pro Tools ... Langues parlées: Français & An...,Publié:il y a 18 jours,Publié:il y a 18 jours,/company/makemusic/jobs/makemusic-ingenieur-du-son-live-studio
TuniJobs,Développeur Senior React Native / NodeJS - Télétravail,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,/_next/image?url=https%3A%2F%2Ftunijobs-cdn.s3.eu-south-1.amazonaws.com%2Ffiles-dev%2Forganizations%2F678d151af15cf2fdf8ef857f%2Fa052848d-99cb-4b03-9f5d-249c2135d260.jpg&w=128&q=75,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,Expérience5-7 ansType d'emploiCDIMode de travailTélétravail completRémunérationConfidentiel,React Native React NodeJS + 1 de plus,Publié:il y a 6 mois,Publié:il y a 6 mois,/company/backoff-solutions/jobs/backoff-solutions-developpeur-senior-react-native-nodejs-teletravail
